antecedents,consequents,support
{'oil'},{'spaghetti'},0.24855491329479767
{'spaghetti'},{'oil'},0.032924961715160794
{'oil'},{'chocolate'},0.2658959537572254
{'chocolate'},{'oil'},0.03742880390561432
{'oil'},{'mineral water'},0.3179190751445087
{'mineral water'},{'oil'},0.03076062639821029
{'mineral water'},{'muffins'},0.018456375838926176
{'muffins'},{'mineral water'},0.18232044198895028
{'french fries'},{'muffins'},0.031201248049921998
{'muffins'},{'french fries'},0.22099447513812154
{'vegetables mix'},{'frozen vegetables'},0.17098445595854922
{'frozen vegetables'},{'vegetables mix'},0.046153846153846156
{'vegetables mix'},{'milk'},0.17098445595854922
{'milk'},{'vegetables mix'},0.033950617283950615
{'vegetables mix'},{'chocolate'},0.18652849740932642
{'chocolate'},{'vegetables mix'},0.029292107404393815
{'vegetables mix'},{'eggs'},0.18652849740932642
{'eggs'},{'vegetables mix'},0.026706231454005934
{'green tea'},{'vegetables mix'},0.03834510595358224
{'vegetables mix'},{'green tea'},0.19689119170984457
{'vegetables mix'},{'spaghetti'},0.21761658031088082
{'spaghetti'},{'vegetables mix'},0.03215926493108729
{'french fries'},{'vegetables mix'},0.0327613104524181
{'vegetables mix'},{'french fries'},0.21761658031088082
{'vegetables mix'},{'mineral water'},0.30569948186528495
{'mineral water'},{'vegetables mix'},0.032997762863534674
{'frozen vegetables'},{'cereals'},0.044755244755244755
{'cereals'},{'frozen vegetables'},0.16580310880829016
{'cereals'},{'ground beef'},0.17616580310880828
{'ground beef'},{'cereals'},0.04613297150610583
{'cereals'},{'pancakes'},0.18134715025906736
{'pancakes'},{'cereals'},0.04908835904628331
{'french fries'},{'cereals'},0.028081123244929798
{'cereals'},{'french fries'},0.18652849740932642
{'chocolate'},{'cereals'},0.03417412530512612
{'cereals'},{'chocolate'},0.21761658031088082
{'green tea'},{'cereals'},0.04944500504540868
{'cereals'},{'green tea'},0.2538860103626943
{'spaghetti'},{'cereals'},0.03828483920367534
{'cereals'},{'spaghetti'},0.25906735751295334
{'cereals'},{'milk'},0.27461139896373055
{'milk'},{'cereals'},0.05452674897119342
{'mineral water'},{'cereals'},0.043064876957494405
{'cereals'},{'mineral water'},0.39896373056994816
{'eggs'},{'pepper'},0.02596439169139466
{'pepper'},{'eggs'},0.17587939698492464
{'pancakes'},{'pepper'},0.05049088359046283
{'pepper'},{'pancakes'},0.18090452261306533
{'pepper'},{'milk'},0.19095477386934673
{'milk'},{'pepper'},0.03909465020576132
{'green tea'},{'pepper'},0.039354187689202826
{'pepper'},{'green tea'},0.19597989949748743
{'chocolate'},{'pepper'},0.03905614320585842
{'pepper'},{'chocolate'},0.24120603015075376
{'pepper'},{'ground beef'},0.24623115577889448
{'ground beef'},{'pepper'},0.06648575305291723
{'mineral water'},{'pepper'},0.03467561521252797
{'pepper'},{'mineral water'},0.31155778894472363
{'spaghetti'},{'pepper'},0.05666156202143951
{'pepper'},{'spaghetti'},0.37185929648241206
{'energy drink'},{'spaghetti'},0.16
{'spaghetti'},{'energy drink'},0.02450229709035222
{'energy drink'},{'eggs'},0.185
{'eggs'},{'energy drink'},0.02744807121661721
{'energy drink'},{'mineral water'},0.21
{'mineral water'},{'energy drink'},0.02348993288590604
{'energy drink'},{'french fries'},0.23
{'french fries'},{'energy drink'},0.0358814352574103
{'frozen vegetables'},{'energy bar'},0.043356643356643354
{'energy bar'},{'frozen vegetables'},0.15270935960591134
{'spaghetti'},{'energy bar'},0.02526799387442573
{'energy bar'},{'spaghetti'},0.1625615763546798
{'french fries'},{'energy bar'},0.028081123244929798
{'energy bar'},{'french fries'},0.17733990147783252
{'eggs'},{'energy bar'},0.028931750741839762
{'energy bar'},{'eggs'},0.1921182266009852
{'milk'},{'energy bar'},0.04218106995884774
{'energy bar'},{'milk'},0.2019704433497537
{'mineral water'},{'energy bar'},0.028523489932885907
{'energy bar'},{'mineral water'},0.2512315270935961
{'ham'},{'pancakes'},0.1708542713567839
{'pancakes'},{'ham'},0.047685834502103785
{'ham'},{'whole wheat rice'},0.16080402010050251
{'whole wheat rice'},{'ham'},0.07289293849658314
{'ham'},{'ground beef'},0.18592964824120603
{'ground beef'},{'ham'},0.050203527815468114
{'ham'},{'green tea'},0.18592964824120603
{'green tea'},{'ham'},0.03733602421796166
{'ham'},{'milk'},0.18592964824120603
{'milk'},{'ham'},0.03806584362139918
{'ham'},{'burgers'},0.21105527638190955
{'burgers'},{'ham'},0.06422018348623854
{'ham'},{'french fries'},0.21105527638190955
{'french fries'},{'ham'},0.0327613104524181
{'ham'},{'chocolate'},0.23618090452261306
{'chocolate'},{'ham'},0.03824247355573637
{'ham'},{'eggs'},0.23618090452261306
{'eggs'},{'ham'},0.034866468842729974
{'ham'},{'spaghetti'},0.34673366834170855
{'spaghetti'},{'ham'},0.052833078101071976
{'ham'},{'mineral water'},0.34673366834170855
{'mineral water'},{'ham'},0.03859060402684564
{'light mayo'},{'frozen vegetables'},0.16176470588235295
{'frozen vegetables'},{'light mayo'},0.046153846153846156
{'light mayo'},{'green tea'},0.16176470588235295
{'green tea'},{'light mayo'},0.033299697275479316
{'light mayo'},{'chocolate'},0.18627450980392157
{'chocolate'},{'light mayo'},0.030919446704637917
{'light mayo'},{'pancakes'},0.20098039215686275
{'pancakes'},{'light mayo'},0.05750350631136045
{'light mayo'},{'eggs'},0.20098039215686275
{'eggs'},{'light mayo'},0.030415430267062313
{'light mayo'},{'mineral water'},0.23039215686274508
{'mineral water'},{'light mayo'},0.026286353467561523
{'french fries'},{'light mayo'},0.042901716068642744
{'light mayo'},{'french fries'},0.2696078431372549
{'yogurt cake'},{'chocolate'},0.16097560975609757
{'chocolate'},{'yogurt cake'},0.026851098454027666
{'yogurt cake'},{'eggs'},0.16585365853658537
{'eggs'},{'yogurt cake'},0.025222551928783383
{'french fries'},{'yogurt cake'},0.029641185647425898
{'yogurt cake'},{'french fries'},0.18536585365853658
{'yogurt cake'},{'mineral water'},0.2048780487804878
{'mineral water'},{'yogurt cake'},0.02348993288590604
{'green tea'},{'red wine'},0.035317860746720484
{'red wine'},{'green tea'},0.16587677725118483
{'red wine'},{'ground beef'},0.17061611374407584
{'ground beef'},{'red wine'},0.048846675712347354
{'chocolate'},{'red wine'},0.030105777054515868
{'red wine'},{'chocolate'},0.17535545023696683
{'french fries'},{'red wine'},0.031201248049921998
{'red wine'},{'french fries'},0.1895734597156398
{'red wine'},{'eggs'},0.25118483412322273
{'eggs'},{'red wine'},0.039317507418397624
{'red wine'},{'spaghetti'},0.36492890995260663
{'spaghetti'},{'red wine'},0.058958652373660034
{'red wine'},{'mineral water'},0.3886255924170616
{'mineral water'},{'red wine'},0.04586129753914989
{'whole wheat pasta'},{'ground beef'},0.15384615384615385
{'ground beef'},{'whole wheat pasta'},0.04613297150610583
{'whole wheat pasta'},{'pancakes'},0.1583710407239819
{'pancakes'},{'whole wheat pasta'},0.04908835904628331
{'frozen vegetables'},{'whole wheat pasta'},0.05174825174825175
{'whole wheat pasta'},{'frozen vegetables'},0.167420814479638
{'eggs'},{'whole wheat pasta'},0.02744807121661721
{'whole wheat pasta'},{'eggs'},0.167420814479638
{'green tea'},{'whole wheat pasta'},0.039354187689202826
{'whole wheat pasta'},{'green tea'},0.17647058823529413
{'french fries'},{'whole wheat pasta'},0.031981279251170044
{'whole wheat pasta'},{'french fries'},0.18552036199095023
{'chocolate'},{'whole wheat pasta'},0.03824247355573637
{'whole wheat pasta'},{'chocolate'},0.21266968325791855
{'olive oil'},{'whole wheat pasta'},0.1214574898785425
{'whole wheat pasta'},{'olive oil'},0.27149321266968324
{'spaghetti'},{'whole wheat pasta'},0.05053598774885146
{'whole wheat pasta'},{'spaghetti'},0.2986425339366516
{'mineral water'},{'whole wheat pasta'},0.040268456375838924
{'whole wheat pasta'},{'mineral water'},0.3257918552036199
{'whole wheat pasta'},{'milk'},0.334841628959276
{'milk'},{'whole wheat pasta'},0.07613168724279835
{'butter'},{'pancakes'},0.13716814159292035
{'pancakes'},{'butter'},0.043478260869565216
{'butter'},{'chicken'},0.1415929203539823
{'chicken'},{'butter'},0.07111111111111111
{'butter'},{'low fat yogurt'},0.14601769911504425
{'low fat yogurt'},{'butter'},0.05749128919860627
{'butter'},{'french fries'},0.20353982300884957
{'french fries'},{'butter'},0.0358814352574103
{'butter'},{'eggs'},0.20353982300884957
{'eggs'},{'butter'},0.03412462908011869
{'butter'},{'milk'},0.20353982300884957
{'milk'},{'butter'},0.047325102880658436
{'butter'},{'spaghetti'},0.2079646017699115
{'spaghetti'},{'butter'},0.03598774885145482
{'butter'},{'green tea'},0.24336283185840707
{'green tea'},{'butter'},0.055499495459132187
{'butter'},{'chocolate'},0.2743362831858407
{'chocolate'},{'butter'},0.05044751830756713
{'tomato juice'},{'fresh bread'},0.14035087719298245
{'fresh bread'},{'tomato juice'},0.09907120743034056
{'tomato juice'},{'pancakes'},0.16228070175438597
{'pancakes'},{'tomato juice'},0.051893408134642355
{'tomato juice'},{'frozen vegetables'},0.16228070175438597
{'frozen vegetables'},{'tomato juice'},0.05174825174825175
{'tomato juice'},{'eggs'},0.16666666666666666
{'eggs'},{'tomato juice'},0.028189910979228485
{'tomato juice'},{'milk'},0.18859649122807018
{'milk'},{'tomato juice'},0.044238683127572016
{'tomato juice'},{'chocolate'},0.19298245614035087
{'chocolate'},{'tomato juice'},0.03580146460537022
{'tomato juice'},{'green tea'},0.20614035087719298
{'green tea'},{'tomato juice'},0.04742684157416751
{'tomato juice'},{'french fries'},0.2324561403508772
{'french fries'},{'tomato juice'},0.041341653666146644
{'tomato juice'},{'spaghetti'},0.24561403508771928
{'spaghetti'},{'tomato juice'},0.042879019908116385
{'tomato juice'},{'mineral water'},0.3157894736842105
{'mineral water'},{'tomato juice'},0.040268456375838924
{'cottage cheese'},{'frozen vegetables'},0.1297071129707113
{'frozen vegetables'},{'cottage cheese'},0.043356643356643354
{'cake'},{'cottage cheese'},0.054276315789473686
{'cottage cheese'},{'cake'},0.13807531380753138
{'cottage cheese'},{'milk'},0.14644351464435146
{'milk'},{'cottage cheese'},0.0360082304526749
{'cottage cheese'},{'frozen smoothie'},0.15481171548117154
{'frozen smoothie'},{'cottage cheese'},0.07789473684210527
{'cottage cheese'},{'chocolate'},0.15481171548117154
{'chocolate'},{'cottage cheese'},0.030105777054515868
{'cottage cheese'},{'pancakes'},0.16317991631799164
{'pancakes'},{'cottage cheese'},0.0546984572230014
{'cottage cheese'},{'eggs'},0.17573221757322174
{'eggs'},{'cottage cheese'},0.03115727002967359
{'french fries'},{'cottage cheese'},0.0343213728549142
{'cottage cheese'},{'french fries'},0.18410041841004185
{'green tea'},{'cottage cheese'},0.04843592330978809
{'cottage cheese'},{'green tea'},0.200836820083682
{'cottage cheese'},{'spaghetti'},0.2175732217573222
{'spaghetti'},{'cottage cheese'},0.039816232771822356
{'cottage cheese'},{'mineral water'},0.301255230125523
{'mineral water'},{'cottage cheese'},0.040268456375838924
{'hot dogs'},{'pancakes'},0.13168724279835392
{'pancakes'},{'hot dogs'},0.04488078541374474
{'hot dogs'},{'milk'},0.13580246913580246
{'milk'},{'hot dogs'},0.033950617283950615
{'hot dogs'},{'frozen smoothie'},0.14814814814814814
{'frozen smoothie'},{'hot dogs'},0.07578947368421053
{'hot dogs'},{'chocolate'},0.16872427983539096
{'chocolate'},{'hot dogs'},0.03336045565500407
{'hot dogs'},{'green tea'},0.205761316872428
{'green tea'},{'hot dogs'},0.050454086781029264
{'hot dogs'},{'french fries'},0.22633744855967078
{'french fries'},{'hot dogs'},0.042901716068642744
{'hot dogs'},{'spaghetti'},0.2674897119341564
{'spaghetti'},{'hot dogs'},0.04977029096477795
{'hot dogs'},{'mineral water'},0.2839506172839506
{'mineral water'},{'hot dogs'},0.03859060402684564
{'cake'},{'avocado'},0.05263157894736842
{'avocado'},{'cake'},0.128
{'soup'},{'avocado'},0.0870712401055409
{'avocado'},{'soup'},0.132
{'pancakes'},{'avocado'},0.04628330995792426
{'avocado'},{'pancakes'},0.132
{'avocado'},{'burgers'},0.136
{'burgers'},{'avocado'},0.05198776758409786
{'frozen vegetables'},{'avocado'},0.04895104895104895
{'avocado'},{'frozen vegetables'},0.14
{'avocado'},{'frozen smoothie'},0.152
{'frozen smoothie'},{'avocado'},0.08
{'eggs'},{'avocado'},0.03115727002967359
{'avocado'},{'eggs'},0.168
{'green tea'},{'avocado'},0.04742684157416751
{'avocado'},{'green tea'},0.188
{'chocolate'},{'avocado'},0.043124491456468676
{'avocado'},{'chocolate'},0.212
{'avocado'},{'milk'},0.224
{'milk'},{'avocado'},0.05761316872427984
{'spaghetti'},{'avocado'},0.045941807044410414
{'avocado'},{'spaghetti'},0.24
{'french fries'},{'avocado'},0.046801872074883
{'avocado'},{'french fries'},0.24
{'mineral water'},{'avocado'},0.04865771812080537
{'avocado'},{'mineral water'},0.348
{'frozen vegetables'},{'brownies'},0.046153846153846156
{'brownies'},{'frozen vegetables'},0.13043478260869565
{'chocolate'},{'brownies'},0.030105777054515868
{'brownies'},{'chocolate'},0.14624505928853754
{'ground beef'},{'brownies'},0.050203527815468114
{'brownies'},{'ground beef'},0.14624505928853754
{'pancakes'},{'brownies'},0.05750350631136045
{'brownies'},{'pancakes'},0.16205533596837945
{'milk'},{'brownies'},0.04218106995884774
{'brownies'},{'milk'},0.16205533596837945
{'cake'},{'brownies'},0.06743421052631579
{'brownies'},{'cake'},0.16205533596837945
{'green tea'},{'brownies'},0.050454086781029264
{'brownies'},{'green tea'},0.1976284584980237
{'spaghetti'},{'brownies'},0.04211332312404288
{'brownies'},{'spaghetti'},0.21739130434782608
{'eggs'},{'brownies'},0.04080118694362018
{'brownies'},{'eggs'},0.21739130434782608
{'french fries'},{'brownies'},0.046021840873634944
{'brownies'},{'french fries'},0.233201581027668
{'mineral water'},{'brownies'},0.040268456375838924
{'brownies'},{'mineral water'},0.2845849802371542
{'turkey'},{'salmon'},0.06609808102345416
{'salmon'},{'turkey'},0.09717868338557993
{'pancakes'},{'salmon'},0.04488078541374474
{'salmon'},{'pancakes'},0.10031347962382445
{'salmon'},{'burgers'},0.10658307210031348
{'burgers'},{'salmon'},0.05198776758409786
{'shrimp'},{'salmon'},0.06529850746268656
{'salmon'},{'shrimp'},0.109717868338558
{'salmon'},{'tomatoes'},0.11598746081504702
{'tomatoes'},{'salmon'},0.07212475633528265
{'salmon'},{'frozen smoothie'},0.11912225705329153
{'frozen smoothie'},{'salmon'},0.08
{'grated cheese'},{'salmon'},0.09923664122137404
{'salmon'},{'grated cheese'},0.12225705329153605
{'olive oil'},{'salmon'},0.08704453441295547
{'salmon'},{'olive oil'},0.13479623824451412
{'green tea'},{'salmon'},0.044399596367305755
{'salmon'},{'green tea'},0.13793103448275862
{'french fries'},{'salmon'},0.0343213728549142
{'salmon'},{'french fries'},0.13793103448275862
{'frozen vegetables'},{'salmon'},0.06573426573426573
{'salmon'},{'frozen vegetables'},0.14733542319749215
{'eggs'},{'salmon'},0.04599406528189911
{'salmon'},{'eggs'},0.19435736677115986
{'salmon'},{'ground beef'},0.21003134796238246
{'ground beef'},{'salmon'},0.09090909090909091
{'salmon'},{'milk'},0.22884012539184953
{'milk'},{'salmon'},0.07510288065843622
{'mineral water'},"{'salmon', 'milk'}",0.018456375838926176
{'salmon'},"{'mineral water', 'milk'}",0.10344827586206896
{'milk'},"{'mineral water', 'salmon'}",0.033950617283950615
"{'mineral water', 'salmon'}",{'milk'},0.2578125
"{'mineral water', 'milk'}",{'salmon'},0.09166666666666666
"{'salmon', 'milk'}",{'mineral water'},0.4520547945205479
{'chocolate'},{'salmon'},0.06509357200976404
{'salmon'},{'chocolate'},0.2507836990595611
{'chocolate'},"{'spaghetti', 'salmon'}",0.024410089503661515
{'spaghetti'},"{'chocolate', 'salmon'}",0.022970903522205207
{'salmon'},"{'chocolate', 'spaghetti'}",0.09404388714733543
"{'chocolate', 'spaghetti'}",{'salmon'},0.10204081632653061
"{'chocolate', 'salmon'}",{'spaghetti'},0.375
"{'spaghetti', 'salmon'}",{'chocolate'},0.297029702970297
{'chocolate'},"{'mineral water', 'salmon'}",0.027664768104149716
{'mineral water'},"{'chocolate', 'salmon'}",0.01901565995525727
{'salmon'},"{'chocolate', 'mineral water'}",0.10658307210031348
"{'chocolate', 'mineral water'}",{'salmon'},0.08607594936708861
"{'chocolate', 'salmon'}",{'mineral water'},0.425
"{'mineral water', 'salmon'}",{'chocolate'},0.265625
{'spaghetti'},{'salmon'},0.0773353751914242
{'salmon'},{'spaghetti'},0.3166144200626959
{'spaghetti'},"{'mineral water', 'salmon'}",0.03905053598774885
{'mineral water'},"{'spaghetti', 'salmon'}",0.028523489932885907
{'salmon'},"{'spaghetti', 'mineral water'}",0.15987460815047022
"{'spaghetti', 'mineral water'}",{'salmon'},0.11383928571428571
"{'spaghetti', 'salmon'}",{'mineral water'},0.504950495049505
"{'mineral water', 'salmon'}",{'spaghetti'},0.3984375
{'mineral water'},{'salmon'},0.07158836689038031
{'salmon'},{'mineral water'},0.4012539184952978
{'fresh bread'},{'low fat yogurt'},0.09907120743034056
{'low fat yogurt'},{'fresh bread'},0.05574912891986063
{'fresh bread'},{'frozen smoothie'},0.09907120743034056
{'frozen smoothie'},{'fresh bread'},0.06736842105263158
{'fresh bread'},{'cake'},0.1021671826625387
{'cake'},{'fresh bread'},0.054276315789473686
{'fresh bread'},{'tomatoes'},0.10835913312693499
{'tomatoes'},{'fresh bread'},0.0682261208576998
{'fresh bread'},{'olive oil'},0.11764705882352941
{'olive oil'},{'fresh bread'},0.07692307692307693
{'fresh bread'},{'chicken'},0.12074303405572756
{'chicken'},{'fresh bread'},0.08666666666666667
{'fresh bread'},{'shrimp'},0.12074303405572756
{'shrimp'},{'fresh bread'},0.07276119402985075
{'fresh bread'},{'pancakes'},0.1238390092879257
{'pancakes'},{'fresh bread'},0.056100981767180924
{'fresh bread'},{'ground beef'},0.14241486068111456
{'ground beef'},{'fresh bread'},0.06241519674355495
{'fresh bread'},{'green tea'},0.14860681114551083
{'green tea'},{'fresh bread'},0.04843592330978809
{'fresh bread'},{'frozen vegetables'},0.15789473684210525
{'frozen vegetables'},{'fresh bread'},0.07132867132867132
{'fresh bread'},{'french fries'},0.19195046439628483
{'french fries'},{'fresh bread'},0.0483619344773791
{'fresh bread'},{'eggs'},0.20123839009287925
{'eggs'},{'fresh bread'},0.04821958456973294
{'fresh bread'},{'spaghetti'},0.21052631578947367
{'spaghetti'},{'fresh bread'},0.05206738131699847
{'fresh bread'},{'milk'},0.21362229102167182
{'milk'},{'fresh bread'},0.07098765432098765
{'fresh bread'},{'chocolate'},0.21981424148606812
{'chocolate'},{'fresh bread'},0.05777054515866558
{'fresh bread'},{'mineral water'},0.30959752321981426
{'mineral water'},{'fresh bread'},0.05592841163310962
{'champagne'},{'frozen smoothie'},0.09971509971509972
{'frozen smoothie'},{'champagne'},0.07368421052631578
{'champagne'},{'frozen vegetables'},0.10256410256410256
{'frozen vegetables'},{'champagne'},0.05034965034965035
{'champagne'},{'pancakes'},0.10826210826210826
{'pancakes'},{'champagne'},0.05329593267882188
{'champagne'},{'milk'},0.11396011396011396
{'milk'},{'champagne'},0.0411522633744856
{'champagne'},{'spaghetti'},0.14245014245014245
{'spaghetti'},{'champagne'},0.03828483920367534
{'champagne'},{'eggs'},0.14245014245014245
{'eggs'},{'champagne'},0.037091988130563795
{'champagne'},{'mineral water'},0.15954415954415954
{'mineral water'},{'champagne'},0.03131991051454139
{'green tea'},{'champagne'},0.06256306760847628
{'champagne'},{'green tea'},0.17663817663817663
{'french fries'},{'champagne'},0.054602184087363496
{'champagne'},{'french fries'},0.19943019943019943
{'champagne'},{'chocolate'},0.24786324786324787
{'chocolate'},{'champagne'},0.07078925956061839
{'honey'},{'chicken'},0.08707865168539326
{'chicken'},{'honey'},0.06888888888888889
{'grated cheese'},{'honey'},0.07888040712468193
{'honey'},{'grated cheese'},0.08707865168539326
{'honey'},{'shrimp'},0.09269662921348315
{'shrimp'},{'honey'},0.061567164179104475
{'honey'},{'cake'},0.09269662921348315
{'cake'},{'honey'},0.054276315789473686
{'honey'},{'olive oil'},0.10112359550561797
{'olive oil'},{'honey'},0.0728744939271255
{'honey'},{'tomatoes'},0.11235955056179775
{'tomatoes'},{'honey'},0.07797270955165692
{'honey'},{'turkey'},0.12078651685393259
{'turkey'},{'honey'},0.09168443496801706
{'honey'},{'eggs'},0.12078651685393259
{'eggs'},{'honey'},0.031899109792284865
